"Timestamp","Which company is your Service Provider agreement contracted with?","What is/are the service(s) you are contracted for?","In which state/territory/province is your contract based?","What best describes the primary territories of your routes?","What percentage of your deliveries are to residential addresses versus business addresses?","How many additional Service Provider agreements does your company have?","When did your company begin operations under a Service Provider agreement?","Approximately what  percentage of your revenues comes directly from your Service Provider contract.","On a scale of 1-5, how would you rate your company's financial health over the past year?","Over the past year, have your year-over-year revenues:","Over the past year, have your year-over-year profit margins:","What are the major finical challenges you face?","On a scale of 1-5, how would you rate your company's operational constancy over the past year?","Over the past year, has your year-over-year operational efficiency:","On a scale of 1-5, how would you rate your company's current operational efficiency?","What are the major operational challenges you face?","How many routes in an average week are dispatch to service your contract?","Have you expanded or reduced your routes in the past year?","How many drivers are used to support your contract in an average week?","How many helper/jumpers are used to support your contract in an average week?","How many managers are used to support your contract in an average week?","How many administrative & executive (non-operations) positions does your company employ?","How would you rate the overall health of your business one year ago?","How would you currently rate the overall health of your business?","How would you rate your prediction for the overall health of your business one year from now?","Compared to the past year, how do you feel about the upcoming year in terms of business growth?","Compared to the past year, how do you feel about the upcoming year in terms of operational challenges?","Compared to the past year, how do you feel about the upcoming year in terms of profitability?","How confident are you in the stability of your contract in the coming year?","How confident are you in the stability of the company you contracted with in the coming year?","What are your top three concerns for the future of your business? [First concern]","What are your top three concerns for the future of your business? [Second concern]","What are your top three concerns for the future of your business? [Third concern]","Are you considering expanding, maintaining, or reducing your routes in the upcoming year?","Do you believe the demand for delivery services in your region will increase, decrease, or remain the same in the next year?","Can you share a specific challenge you've faced in the past year and how you addressed it?","Describe a recent success story or a significant milestone your company achieved.","If you could suggest one change to improve contractor relations, what would it be?","Are there any upcoming industry changes or trends that you believe will impact your business positively or negatively in the next year?","Share an experience that exemplifies your relationship with the company your contract is with.","What's one thing you wish outsiders knew about the challenges and rewards of being a Service Provider contractor?","Please provide any feedback you have regarding this survey."
"2024/07/12 9:37:50 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Texas","Rural","Mostly Residential","0","2003-05-02","90% to 99%","1","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","2","Remained Stable","3","Vehicle Maintenance & Repair;Hiring Drivers","16 to 30","Reduced","16 to 30","0","1 to 2","1 to 2","1","1","1","About the Same","About the Same","About the Same","1","1","Contract Partner","Contracted Rates","Labor Costs","","Decrease","","","","","","",""
"2024/07/12 10:11:17 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Tennessee","Suburban;Rural","Mostly Residential","2","2017-03-11","80% to 89%","2","Remained Stable","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","5","Vehicle Maintenance & Repair;Equipment Reliability;Employee Management;Quality of Vendor Services","200 to 300","Reduced","51 to 75","1 to 3","3 to 5","1 to 2","4","2","2","More Pessimistic","More Pessimistic","More Pessimistic","1","2","Contract Partner","Fleet Costs","Contracted Rates","Reducing","Remain the same","","","Reverse the margin erosion","FedEx 2.0 is a large unknown","District, Station, and Engineering all indicate Contract can earn more. Enter re-negotiations, and numbers don't move.","3 years of inflation have destroyed margins. ",""
"2024/07/13 9:09:41 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Minnesota","Suburban","Mostly Residential","0","2004-07-13","80% to 89%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases","4","Remained Stable","3","Hiring Drivers","76 to 100","Remained Stable","16 to 30","0","1 to 2","1 to 2","3","3","3","More Optimistic","More Pessimistic","About the Same","4","4","Contracted Rates","Unemployment Rate","Contract Partner","Expanding","Remain the same","","","","The merge with express ","","",""
"2024/07/13 9:26:50 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Oregon","Suburban;Rural","Mostly Residential","1","2003-01-20","90% to 99%","2","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases","2","Remained Stable","4","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability;Employee Management","101 to 140","Remained Stable","31 to 50","0","1 to 2","0","3","2","1","About the Same","","More Pessimistic","1","1","Contracted Rates","Fleet Costs","Labor Costs","Reducing","Increase","","","","","","",""
"2024/07/13 9:44:55 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Missouri","Rural","Mostly Residential","0","1996-01-01","100%","2","Remained Stable","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Remained Stable","2","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability;Employee Management","101 to 140","Remained Stable","16 to 30","0","1 to 2","0","3","2","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Labor Costs","Fleet Costs","Maintaining","Increase","","","","","","",""
"2024/07/13 11:13:10 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Wisconsin","Urban/City Center;Suburban;Rural","Mostly Residential","0","2021-11-06","100%","1","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","5","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability;Employee Management;Quality of Vendor Services","31 to 50","Remained Stable","6 to 15","0","1 to 2","1 to 2","1","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Labor Costs","Fleet Costs","Reducing","Increase","Cost of everything has gone up and fedex is paying less or not enough to compensate inflation ","None. We just get by. ","Kindness and empathy. Fedex treats us like a number, if we could work together things would be a lot easier. ","The expectations are higher and higher everyday but the pay remains the same so I expect a lot of contractors to fail because it’s getting more and more expensive to keep up with the fleet and fedex expectations","I’m continuously told I’m not big enough and I can’t sell, it makes me feel insecure about them renewing my contract. ","Do not buy into fedex it’s not a good business. Too much risk and no reward. ",""
"2024/07/14 6:16:03 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","New Hampshire","Suburban","Mostly Residential","0","","100%","1","Remained Stable","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","1","Remained Stable","4","Vehicle Maintenance & Repair;Hiring Drivers","6 to 15","Reduced","6 to 15","0","1 to 2","0","1","1","1","More Pessimistic","About the Same","More Pessimistic","5","1","Contracted Rates","","","Reducing","Remain the same","Loosing money and have taken from my retirement fund","","Pay a reasonable stipend ","Workforce ","","Wish I never started",""
"2024/07/14 8:32:59 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Alabama","Urban/City Center;Suburban","Equal Mix of Both","0","2024-03-16","100%","3","Increased","Remained Stable","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","3","Remained Stable","5","Vehicle Maintenance & Repair;Hiring Drivers","31 to 50","Remained Stable","6 to 15","1 to 3","1 to 2","0","3","3","2","About the Same","About the Same","About the Same","2","3","Economic Downturn","Contracted Rates","Labor Costs","Maintaining","Remain the same","Concern with continuing to contract with fedex based on safety scores ","Improved ryde scores","Stop throwing the contract/agreement in our faces and take more accountability for your poor terminal performance ","Economic concerns ","Constantly arguing about poor terminal coding which affects our service","Fedex has all the power and can just randomly choose to not renew your contract. Don’t pay more than 1x because tomorrow is not guaranteed ","Can you share or post the results?"
"2024/07/14 10:50:28 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Louisiana","Suburban;Rural","Mostly Residential","1","2021-06-14","90% to 99%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Remained Stable","3","Vehicle Maintenance & Repair;Equipment Reliability","16 to 30","Remained Stable","16 to 30","0","1 to 2","0","3","2","3","About the Same","More Pessimistic","More Pessimistic","2","4","Contracted Rates","Fleet Costs","","","Increase","","","","","","",""
"2024/07/15 7:32:44 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Michigan","Rural","Mostly Residential","0","","100%","1","Remained Stable","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Remained Stable","3","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability","6 to 15","Expanded","6 to 15","0","1 to 2","1 to 2","3","3","3","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Labor Costs","Contracted Rates","Overhead Costs","Reducing","Increase","","","","","","",""
"2024/07/15 11:12:35 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Georgia","Suburban;Rural","Mostly Residential","1","2015-06-06","100%","3","Remained Stable","Decreased","Fuel Expenses;Pay and Salary Increases;Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Remained Stable","4","Employee Management","51 to 75","Reduced","6 to 15","0","1 to 2","1 to 2","3","3","3","About the Same","More Pessimistic","About the Same","3","2","Contract Partner","Labor Costs","Overhead Costs","Maintaining","Increase","","","More realistic settlement rates. X making it's growth & profit numbers on the backs of contractors, and it's own terminal personnel. ","Continued competition from new regional service providers.","","Cannot sustain debt levels... new contractors coming in with too much leverage. ",""
"2024/07/15 12:52:38 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","South Carolina","Urban/City Center;Suburban;Rural","Mostly Residential","0","2005-02-15","90% to 99%","1","Remained Stable","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Remained Stable","4","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability;Employee Management;Quality of Vendor Services","76 to 100","Reduced","16 to 30","1 to 3","3 to 5","1 to 2","3","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Overhead Costs","Labor Costs","Maintaining","Increase","","2 years incident free.","Healthier settlement rates","","","Margins are micro managed by FedEx","I can only pray that ongoing feedback from these surveys will help improve conditions for ISPs across the network"
"2024/07/15 1:21:26 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","South Carolina","Urban/City Center;Suburban","Equal Mix of Both","0","2022-04-01","90% to 99%","1","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","3","Remained Stable","4","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability;Employee Management;Quality of Vendor Services","16 to 30","Remained Stable","1 to 5","0","1 to 2","0","3","1","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Overhead Costs","Labor Costs","Maintaining","Increase","","Zero incidents for calendar year","","","","",""
"2024/07/15 1:30:50 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Tennessee","Urban/City Center;Suburban;Rural;Interstate","Equal Mix of Both","0","2019-08-19","90% to 99%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Remained Stable","4","Vehicle Maintenance & Repair;Equipment Reliability;Quality of Professional Services","101 to 140","Remained Stable","31 to 50","4 to 8","3 to 5","1 to 2","4","1","1","More Pessimistic","More Pessimistic","More Pessimistic","2","2","Contract Partner","Labor Costs","Contracted Rates","Reducing","Increase","Labor maintaince ","","","","","",""
"2024/07/15 7:01:02 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Ohio","Suburban;Rural","Mostly Residential","2","2007-10-01","90% to 99%","1","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","2","Remained Stable","3","Route Optimization;Quality of Vendor Services;Dealing with incompetent FedEx management/preload","200 to 300","Reduced","51 to 75","0","3 to 5","0","4","2","1","More Optimistic","More Pessimistic","More Pessimistic","1","1","Overhead Costs","Labor Costs","Fleet Costs","Expanding","Increase","FedEx is not seeing the size of the packages and the bulk deliveries as a daily issue. Every day we have at least one stop in both csas that take an entire truck or two to deliver an hour away from the terminal. Bulk stops from 50-250 packages that are coolers, outdoor smokers, furniture, etc 

We also have several new residential developments popping us in our CSA and new houses means ordering more furniture. Yes, my drive efficiency is not where you want it to be. THATS BECAUSE I CANNOT ANY MORE PACKAGES IN THESE TRUCKS!!!! Yesterday we had a wheel borrow with a label on it from Walmart. It is literally being shoved in our faces everyday and we continue to bend over and take it. Meanwhile the negotiators are telling us that we need to dispatch less people. It’s a crazy time to be an isp. Zero confidence that FedEx will fix this issue, they continue to turn a blind eye. There’s a reason one district has an open CSA in every building right now. We cannot continue to lose money, I know of at least 8 contractors in 4 different buildings is once accident away from being bankrupt. LCC is a joke and is probably illegal but they do it anyway","Ha","For them to actually do their jobs. Contractor relations transformed to Business Development Solutions and failed at that! Their  entire job was in the title of the name! Developed Businesses to get them ready for  the ISP contract. Calls and emails are never returned, been getting the same answer for 6 years now, “we will look into it and get back with you” and then you never hear from them 😆 it’s unbelievable. Then if you try to follow up with them and keep pressuring them, they give you the standard contract/corporate line that it’s in the agreement. They’re not trying to help us, corporate treats them like a joke too! How can BDS answer isps questions and concern when they haven’t even been told the new information yet? Same goes for safety, our safety guy didn’t even know about the new AI cameras that are due Oct 1, corporate is so far removed from what we do as contractors isn’t isn’t even funny. If Scott Ray and Scott Burns would just show up to a building unannounced instead of providing an itinerary of when they will be in which buildings at what time maybe then they will see the issues, until then nothing will change. We will continue to spin our gears, terminate contracts, fire SRMs and ignore the real issues that plague our beloved FedEx company. I have been a contractor for a long time and I love this brand but I hope they get the message but it really feels like they don’t care about the isps, package handlers or terminal/hub employees. They have really gotten away from their roots and it’s sad. We finally had a good contract for years during Covid but then FedEx ripped it all back to make the shareholders happy. The packages that we deliver now should never go through our system. Over the last 2 weeks we have had; an anvil on a pallet, 5 full size trash cans from Grainger with a label slapped on the lid, a full size wheelbarrow from Walmart, tractor chains, road sign poles banded together in groups of 10 that weighed over 150lbs that took 3 package handlers to get it on the belt and not to mention the daily couches, sectionals, grilles, lawnmowers, trampolines, beds, cat litter machines, office desks, outdoor patio sets and this is just to name a few. CHARGE THE SHIPPERS MORE, THEY LITERALLY CANT GO ANYWHERE ELSE. UPS won’t take the big stuff and usps can’t fit it…","Addition of FedEx2.0 will destroy us if they don’t figure it out soon ","N/a","I would have figured out a different career path ",""
