"Timestamp","Which company is your Service Provider agreement contracted with?","What is/are the service(s) you are contracted for?","In which state/territory/province is your contract based? ","What best describes the primary territories of your routes?","What percentage of your deliveries are to residential addresses versus business addresses?","How many additional Service Provider agreements does your company have?","When did your company begin operations under a Service Provider agreement?","Approximately what  percentage of your revenues comes directly from your Service Provider contract.","On a scale of 1-5, how would you rate your company's financial health over the past year?","Over the past year, have your year-over-year revenues:","Over the past year, have your year-over-year profit margins:","What are the major finical challenges you face?","On a scale of 1-5, how would you rate your company's operational constancy over the past year?","Over the past year, has your year-over-year operational efficiency:","On a scale of 1-5, how would you rate your company's current operational efficiency?","What are the major operational challenges you face?","How many routes in an average week are dispatch to service your contract?","Have you expanded or reduced your routes in the past year?","How many drivers are used to support your contract in an average week?","How many helper/jumpers are used to support your contract in an average week?","How many managers are used to support your contract in an average week?","How many administrative & executive (non-operations) positions does your company employ?","How would you rate the overall health of your business one year ago?","How would you currently rate the overall health of your business?","How would you rate your prediction for the overall health of your business one year from now?","Compared to the past year, how do you feel about the upcoming year in terms of business growth?","Compared to the past year, how do you feel about the upcoming year in terms of operational challenges?","Compared to the past year, how do you feel about the upcoming year in terms of profitability?","How confident are you in the stability of your contract in the coming year?","How confident are you in the stability of the company you contracted with in the coming year?","What are your top three concerns for the future of your business? [First concern]","What are your top three concerns for the future of your business? [Second concern]","What are your top three concerns for the future of your business? [Third concern]","Are you considering expanding, maintaining, or reducing your routes in the upcoming year?","Do you believe the demand for delivery services in your region will increase, decrease, or remain the same in the next year?","Can you share a specific challenge you've faced in the past year and how you addressed it?","Describe a recent success story or a significant milestone your company achieved.","If you could suggest one change to improve contractor relations, what would it be?","Are there any upcoming industry changes or trends that you believe will impact your business positively or negatively in the next year?","Share an experience that exemplifies your relationship with the company your contract is with.","What's one thing you wish outsiders knew about the challenges and rewards of being a Service Provider contractor?","Please provide any feedback you have regarding this survey."
"2024/01/07 8:31:23 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Florida","Suburban;Rural","Mostly Residential","3","2010-10-21","100%","1","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","4","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability","31 to 50","Reduced","31 to 50","1 to 3","3 to 5","0","3","3","1","Don't Know","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Labor Costs","Fleet Costs","Reducing","Decrease","poor contract rate","none","management with better knowledge of pick up and delivery operations","none","none","none",""
"2024/01/08 12:37:54 AM EST","FedEx Ground","Residential Pickup and Delivery","Georgia","Urban/City Center;Suburban;Rural","Equal Mix of Both","4","2017-07-12","100%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Worsened","2","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability;Employee Management;Quality of Professional Services","16 to 30","Expanded","16 to 30","0","1 to 2","1 to 2","3","3","3","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contract Partner","Contracted Rates","Overhead Costs","Reducing","Increase","Sort and package handlers is the worst I have ever seen. I can't fix it","None","Communication more","We are still in a slight depression","The management doesn't care about their contractors but hold us accountable for their mistakes","There is no rewards anymore. Challenge is trying to figure out how to dig yourself out of your grave that Fedex puts you into from the beginning","This is all the truth for terminals in Macon Ga, Birmingham AL, Columbia SC and Rivierac Beach FL "
"2024/01/08 9:25:31 AM EST","FedEx Ground","Residential Pickup and Delivery","South Carolina","Rural","Mostly Residential","1","2020-10-01","100%","3","Decreased","","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","2","Worsened","2","Hiring Drivers;Route Optimization;Employee Management","200 to 300","Reduced","51 to 75","1 to 3","3 to 5","1 to 2","3","2","2","More Pessimistic","More Pessimistic","About the Same","3","4","Contracted Rates","Labor Costs","Contract Partner","Reducing","Remain the same","","","","","Their estimate for the number of deliveries I need to plan for is off every day by 10-30%. They have done nothing to improve this, even though it is the largest driver of inefficiency I have ","",""
"2024/01/09 1:21:39 PM EST","","","","Urban/City Center","Mostly Residential","0","2004-04-15","30% 39%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","3","Remained Stable","3","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability;Employee Management","6 to 15","Reduced","6 to 15","0","1 to 2","1 to 2","2","3","3","More Pessimistic","More Pessimistic","More Pessimistic","2","3","Contracted Rates","Market Erosion","Overhead Costs","Maintaining","","","","","","","",""
"2024/01/09 2:54:08 PM EST","","","","","","1","2010-04-10","100%","2","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases","5","Remained Stable","5","Hiring Drivers","6 to 15","Remained Stable","16 to 30","4 to 8","1 to 2","1 to 2","3","3","2","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contract Partner","Contracted Rates","Labor Costs","Maintaining","Decrease","Discrimination - harassment- threats","Maintained contract thru legal proceedings ","Enforce the contract uniformly ","Potential Loss of USPS contract - taking on express for less oay","None","That we put out all the risk and monies and corporate accepts no responsibility unless it’s something that makes them look good ","Is this going to make a difference or is it just another save face???"
"2024/01/09 8:18:22 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Tennessee","Suburban","Mostly Residential","0","2000-08-02","100%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Remained Stable","5","Vehicle Maintenance & Repair;Terminal Staff","101 to 140","Expanded","16 to 30","0","1 to 2","0","3","3","3","More Pessimistic","More Pessimistic","More Pessimistic","2","2","Contract Partner","Contracted Rates","Labor Costs","Maintaining","Increase","Forced to run ASA 40 miles from my nearest stop for 6 months. I demanded Contingency pay and got it. ","24th year of operation","I have zero confidence with BDS.  Nothing will change that. ","Underpaying contract won't keep pace with wage and general inflation. ","They just need to stay out of my way.  Do that and everything will be fine. ","No comment",""
"2024/01/09 8:21:40 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Washington","Urban/City Center;Suburban","Mostly Residential","1","2021-10-16","100%","2","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Pay and Salary Increases","5","Remained Stable","5","Quality of Vendor Services;Quality of DRO data","31 to 50","Reduced","6 to 15","0","1 to 2","1 to 2","2","3","4","More Optimistic","More Optimistic","About the Same","5","2","Labor Costs","Contract Partner","Contracted Rates","Expanding","Remain the same","Declining volume, nightly DRO inaccuracies from 5-25% off, both high and low with no trend","Negotiated higher paying contract, on average $0.57 per stop higher","DRO NEEDS to be more accurate ","If Biden gets re-elected, the economy will TANK even more","Senior manager last week asked me to buy out another contractor","Fedex is a terrible business partner",""
"2024/01/09 10:36:21 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Wisconsin","Suburban;Rural","Mostly Residential","0","2006-01-01","100%","2","Decreased","Decreased","Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","3","Remained Stable","4","Vehicle Maintenance & Repair;Employee Management;Quality of Vendor Services","16 to 30","Remained Stable","16 to 30","0","1 to 2","0","3","3","2","More Pessimistic","More Pessimistic","More Pessimistic","2","2","Contracted Rates","Economic Downturn","Labor Costs","Maintaining","Remain the same","","","","","","",""
"2024/01/10 1:55:22 AM EST","","","","","","1","2011-01-01","100%","2","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases","","","","","51 to 75","Reduced","6 to 15","0","1 to 2","0","","","","","","","","1","Contracted Rates","Labor Costs","Contract Partner","Maintaining","Remain the same","","","To promote incentives for us to make more money, not promote/invent new ways for us to lose money. ","","","",""
"2024/01/11 4:04:37 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Pennsylvania","Suburban","Mostly Residential","1","2017-10-10","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","4","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization","16 to 30","Reduced","16 to 30","0","1 to 2","0","4","3","4","Don't Know","More Pessimistic","About the Same","5","1","Contracted Rates","Contract Partner","Labor Costs","Expanding","Remain the same","Quality of work force. I made an effort or over hire and replace the bad seeds and change the. Corporate culture ","","We are your partner. Not the enemy . Treat us like a partner ","Rising costs for everything will impact the industry as a whole ","","We get our best. Leave your dogs inside if you are expecting a delivery",""
"2024/01/11 9:17:08 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","New Hampshire","Suburban","Mostly Residential","0","2021-07-10","100%","2","Remained Stable","Decreased","Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","4","Hiring Drivers;Route Optimization;Employee Management","51 to 75","Reduced","6 to 15","0","1 to 2","1 to 2","1","2","2","More Pessimistic","More Pessimistic","More Pessimistic","2","1","Contracted Rates","Economic Downturn","Labor Costs","Maintaining","Remain the same","Our new contract. Worked for hours on the unique characteristics. Actually had a FedEx negotiator laugh at me on the phone. ","98.8% local inbound for peak. ","Please do more than just listen. Make some positive changes to help contractors. ","No","The FedEx Negotiator laughing during our call summed it up for me. ","We aren’t FedEx. People think they are going after a big conglomerate. We are a small business owner just like them. ","Thank you. I know there are a lot of people out there trying to make change. "
"2024/01/12 1:54:48 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Georgia","Suburban","Equal Mix of Both","0","2022-08-01","100%","3","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Remained Stable","4","Route Optimization;Equipment Reliability","76 to 100","Remained Stable","16 to 30","0","1 to 2","0","3","3","3","More Pessimistic","More Pessimistic","More Pessimistic","4","4","Contracted Rates","Labor Costs","Economic Downturn","Maintaining","Decrease","","","Increase contracting rates so we can afford to pay our drivers a fair rate and invest in new trucks","","Went to one of the Senior Exec sharing sessions back in November 2022.  Execs claimed they were listening and make positive changes.  Nothing has changed.  Have lost complete trust in executive management at FedEx","",""
"2024/01/13 9:25:27 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Texas","Urban/City Center;Rural","Mostly Residential","2","2018-04-01","100%","1","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","5","Improved","4","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability;Quality of Vendor Services;Quality of Professional Services","200 to 300","Remained Stable","31 to 50","1 to 3","6 to 8","1 to 2","1","1","1","About the Same","About the Same","More Pessimistic","1","1","Contracted Rates","Contract Partner","Labor Costs","Reducing","Increase","","","","","","",""
"2024/01/13 9:31:28 AM EST","FedEx Ground","Linehaul","Tennessee","","","1","2000-04-02","100%","4","Remained Stable","Remained Stable","Fedex giving freight to purchase carriers","4","Remained Stable","3","Fedex","31 to 50","Remained Stable","31 to 50","0","3 to 5","1 to 2","5","4","3","More Pessimistic","More Pessimistic","More Pessimistic","2","3","Contracted Rates","Contract Partner","Contracted Rates","Reducing","Decrease","","","","","","",""
"2024/01/13 9:48:50 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Washington","Urban/City Center;Rural","Equal Mix of Both","0","2023-10-07","100%","3","Don't Know","Don't Know","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Federal, State, or Local Taxes;Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Don't Know","4","Vehicle Maintenance & Repair;Equipment Reliability","76 to 100","Remained Stable","6 to 15","1 to 3","1 to 2","0","4","3","3","Don't Know","About the Same","Don't Know","3","4","Contracted Rates","Labor Costs","Contract Partner","Maintaining","Increase","Keeping my fleet in working condition ","We had a very successful Peak after acquiring the company only a few short weeks prior to Peak starting ","Reasonableness ","Unsure at this point ","N/A","The difficulty of being a business owner but at the same time having everything mandated by someone else",""
"2024/01/13 10:57:27 AM EST","FedEx Ground","Linehaul","Kentucky","Interstate","Mostly Business","0","2021-07-01","100%","3","Increased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","2","Worsened","3","Hiring Drivers;Employee Management","101 to 140","Expanded","31 to 50","0","3 to 5","3 to 5","4","3","3","More Pessimistic","More Pessimistic","More Pessimistic","2","4","Contract Partner","Contracted Rates","Economic Downturn","Reducing","Remain the same","Violation of contract and retaliation after pursuing a case with contract relations. There is no resolution seemingly ","","Transparency ","","","",""
"2024/01/13 12:27:59 PM EST","","","","","Equal Mix of Both","3","2019-11-20","100%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","","","","","31 to 50","Remained Stable","31 to 50","1 to 3","3 to 5","1 to 2","4","3","3","More Pessimistic","More Pessimistic","More Pessimistic","3","4","Contracted Rates","Labor Costs","Overhead Costs","Reducing","Remain the same","Vehicle costs are through the roof.  We turned to Enterprise leasing.  it's expensive up front but for the long term, it ends up normalizing costs over serveral years and we will always have fairly new vehicles.  

Additionally, we have had a lot of issues with the available workforce and their willingness to show up when they're supposed to.  We have started hiring so we have more people than we need so we can start weeding out bad drivers.  We have decided we will never be held prisoner by our employees again.

Our contracts have been reducded year over year across the board.  One small contract, our revenue dropped almost 15%...not because we delivered less but because FedEx gives us less money per stop, less money per package and less money for fuel.  We have the exact same CSA for that contract. We cannot fathom how FedEx could reduce all of our revenue when the cost of labor, fuel and equipment has gone up drastically.  We have had to utilize managers quite a bit more to drive and fill routes which takes a lot of time from their ability to do things that improve the company and help service. ","The only positive this year for use what that peak was a success.  We generated a lot of revenue which will help keep the company profitable for the year. ","FedEx needs to stop forcing regulation after regulation on contractors.  We have to spend so much time training drivers before they can even get on the road....at a great monetary cost.  We do not get compensated properly for the amount of money we have to spend on training.  

Additionally, FedEx knows damn well that most contractors have massive amounts of debt and rely on continuing the relationship to service that debt. When they ""negotiate"" they give us an ultimatum rather than a true opportunity to negotiate.  Submitting unique characteristics is a joke.  It has to be in the format they provide and you do not have an opporunity to truly submit the characteristics that are unique to your company.  Negotiations should be just that, an ability to speak about what a company reasonably needs to survive without a very short acceptance timeline. 

I have so many more but need to list this one as well.  Station personnel do not know anything about any process other than sorting packages and tracking service.  When we have a question, they rarely have an answer. Often when they do have an answer it's wrong. We have spent so much time finding answers ourselves and completing processes that the terminal should be able to assist with but can't.  It exhausting and frustrating. ","The integration of Express volume should be a good thing for us right?  I'm worried about it.  I haven't heard anything positive about Express integration in terms of profitability or the professional relationship with Terminal staff.  It will change our daily operation and take a lot of work to coordinate with yet again, no financial incentive. ","We have several contracts.  A Contractor about 5 hours away from us walked away from their contract with zero notice.  We were asked to run contingency so we did.  We brought drivers, trucks, ipads, scanners and everything else needed to get it done.  We were up and running in a terminal five hours away from our within two days....we ran for six weeks and had the terminal caught up.  It was a complete shit show.  FedEx missed several payments to us and when we did get paid, it was always the wrong amount.  We floated tens of thousands of dollars to make it happen and had to fight to get paid.  The terminal manager was the worst person I've ever worked with at FedEx.  I made sure that we only communicated via email or text so that I had record of his behavior and ineptitude.  Doing the contingency work hurt our overall service for the company under which we ran contingency.  We took all of the risk and ended up breaking even.  In the end we gave notice and walked away.  We did everything in our power to bail FedEx out and were met with problem after problem on the FedEx side that they were unwilling or too inept to fix.  We will never run contingency again. ","FedEx does not give a shit about contractors.  We work so hard to make things happen for FedEx and don't make great profits.  It's a living and supports my family but it is not worth it.  Contractors take all of the risk, take on all of the liability and do not get compensated commensurately for it.  FedEx has the memory of a gold fish. We bail them out all of the time and are met with a constant barrage of texts, phone calls and email about equipment, service and FedEx specific requirments.  Do not invest in this business unless you can go into it with zero debt. ","Thanks for doing this.  I hope thousands of contractors take this survey and it can be presented directly to FedEx. "
"2024/01/14 11:17:03 AM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","","Suburban","Equal Mix of Both","1","","70% to 79%","2","Remained Stable","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","4","Remained Stable","5","Vehicle Maintenance & Repair;Hiring Drivers","76 to 100","Reduced","6 to 15","0","1 to 2","0","4","4","3","More Pessimistic","More Optimistic","More Pessimistic","3","3","Contracted Rates","Labor Costs","Contract Partner","Expanding","Remain the same","","","","Negatively, taking on express at e-commerce rates","","",""
"2024/01/15 12:10:53 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Florida","Urban/City Center;Suburban","Mostly Residential","1","2023-03-03","100%","2","Increased","Increased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Fuel Expenses;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","3","Improved","3","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Employee Management","31 to 50","Expanded","6 to 15","0","1 to 2","0","1","3","4","More Optimistic","More Optimistic","More Optimistic","4","4","Market Share","Overhead Costs","Contracted Rates","Expanding","Increase","As a relatively new contractor, I went from all business contract to a mix of home/business.  I thought the drivers would find the transition easy to more stops lighter packages.  They didn't and I had to overhaul my entire staff.","If you consider overhauling our entire staff then yes!","More assistance from FedEx in navigating as a new contractor.  There is absolutely no help.","Not sure.
","I have tried to build a solid relationship w the terminal staff.  I have realized that they can be a very good tool to assist me in the early stages of building my company","The inconsistency of the drivers",""
"2024/01/15 1:24:45 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Illinois","Suburban","Equal Mix of Both","0","","90% to 99%","3","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Professional Services (i.e. legal representation, book keeping, etc.);Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Improved","4","Vehicle Maintenance & Repair;Equipment Reliability;Employee Management","76 to 100","Reduced","16 to 30","0","3 to 5","3 to 5","2","2","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contract Partner","Labor Costs","Maintaining","Remain the same","","","","","","",""
"2024/01/15 1:39:04 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Missouri","Suburban;Rural","Mostly Residential","0","1999-06-07","100%","3","Decreased","Decreased","Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","4","Remained Stable","2","Vehicle Maintenance & Repair;Hiring Drivers;Quality of Vendor Services","6 to 15","Reduced","16 to 30","0","1 to 2","0","3","3","3","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contracted Rates","Contracted Rates","Maintaining","Remain the same","Inflation costs","None","A better contract with more money","None","Stop pushing more on us and let us run our business ","The terrible pay we make on our contract. ","If things dont change, i will be leaving fedex"
"2024/01/15 1:51:53 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Michigan","Suburban","Mostly Residential","0","2000-05-30","100%","2","Decreased","Decreased","Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","3","Remained Stable","3","Vehicle Maintenance & Repair;Hiring Drivers;Quality of Vendor Services","51 to 75","Reduced","16 to 30","0","1 to 2","0","3","2","2","About the Same","About the Same","About the Same","2","2","Contracted Rates","Labor Costs","Fleet Costs","Maintaining","Remain the same","","","","","","",""
"2024/01/15 3:25:08 PM EST","","","","","","0","","","2","Decreased","Decreased","Credit (i.e. qualification, rates, etc.);Debt Service (i.e. SBA Loans, equipment loans, equipment leases, etc.);Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","3","Remained Stable","3","Vehicle Maintenance & Repair;Hiring Drivers;Route Optimization;Equipment Reliability","51 to 75","Expanded","6 to 15","0","1 to 2","0","2","2","1","More Pessimistic","Don't Know","More Pessimistic","3","2","Contracted Rates","Contract Partner","Labor Costs","Maintaining","Remain the same","","","Better pay. ","","","",""
"2024/01/15 5:52:22 PM EST","","","","","","0","2023-10-10","100%","3","Remained Stable","Decreased","Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Schedule L ","4","Remained Stable","3","Hiring Drivers;Safety score","6 to 15","Remained Stable","16 to 30","0","3 to 5","0","3","3","3","About the Same","About the Same","More Pessimistic","1","3","Contracted Rates","Contract Partner","Labor Costs","Maintaining","Remain the same","Contract was at risk of not being renewed. Most stressful time in my entire life. Suffered health problems as a result. ","","1) Stop changing the ISP agreement and adding new schedules that only erode the contractor profit margin.  
2) Get rid of ARC. They are more than happy to fork out large sums of “our” money to repair so called damaged property ","","Adversarial relationship - any request to “review” a policy or accident expense is immediately returned as “the decision stands” without any further explanation or true investigation. When it’s not their money, they are very quick to shut down any dialogue ","The contractor is at the financial  mercy of the company. Take it or leave it. Very difficult to do when “leaving it” means walking away from your entire life savings ",""
"2024/01/15 7:37:10 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","South Carolina","Suburban","Mostly Residential","0","1993-08-25","100%","2","Decreased","Remained Stable","Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Remained Stable","3","Hiring Drivers;Route Optimization","31 to 50","Reduced","6 to 15","0","1 to 2","0","2","2","2","About the Same","About the Same","About the Same","2","2","Contract Partner","Contracted Rates","Labor Costs","Maintaining","Remain the same","FedEx constantly micromanaging your business. They are constantly moving the bar and changing the rules of the game midstream. The biggest thing is navigating FedEx's micromanagement techniques. Also inadequate information as far as numbers go. Late dispatches inconsistent dispatch times.","We were 2023 EOY we've been gold most all of last year. Participated in the Pittsburgh gold medal of celebration. We were past EOY winners in 2018.","The contract relations department does not exist anymore at FedEx.","I don't know of any trends. Unless we get Express volume and FedEx does what they should do and compensate fairly.


","In spite of the constant micromanagement and rule changes and moving the line and taking two steps forward and getting knocked back three I have managed to stay in business 31 plus years. I enjoy what I do.","It cost more than most people realize to run a business it definitely cost more than what FedEx realizes it does. Just because there's a big number at the end it's not what you gross it's what you keep ","I hope FedEx will listen to some of these surveys. Survey was fine"
"2024/01/15 7:50:44 PM EST","FedEx Ground","Residential Pickup and Delivery;Business Pickup and Delivery","Michigan","Urban/City Center;Suburban;Rural","Equal Mix of Both","1","2022-04-15","100%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","3","Remained Stable","3","Vehicle Maintenance & Repair;Hiring Drivers;Equipment Reliability","1 to 5","Remained Stable","1 to 5","0","0","0","2","2","1","More Pessimistic","More Pessimistic","More Pessimistic","1","1","Contracted Rates","Contract Partner","Labor Costs","Reducing","Remain the same","","","","","","",""
"2024/01/15 9:55:10 PM EST","","","","","","","2023-01-27","100%","1","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","","","","","6 to 15","Remained Stable","6 to 15","0","1 to 2","0","1","1","1","About the Same","About the Same","More Pessimistic","1","1","Contracted Rates","Contracted Rates","Contracted Rates","Expanding","Decrease","Ability to schedule properly ","We improved safety","Improve rates","Express rates ","","We continue to put in money",""
"2024/01/15 10:01:58 PM EST","","","","","","1","2005-01-01","100%","2","Decreased","Decreased","Equipment Costs (i.e. price of vehicles, scanners, iPads, etc.);Fuel Expenses;Pay and Salary Increases;Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.);Vendor Service Pricing (i.e. cost of payroll provider, route management subscriptions, etc.)","3","Don't Know","3","Load quality/not loading trucks properly/late dispatch/etc…","31 to 50","Don't Know","6 to 15","0","1 to 2","1 to 2","3","3","2","About the Same","More Pessimistic","More Pessimistic","3","3","Contracted Rates","Labor Costs","Contract Partner","Reducing","Remain the same","Dealing w terrible loaders and loading truck myself","Didnt go bankrupt off the putrid pay","Go back to old pay system under IC model, isp pay has been terrible ever sense it started and the whole talk leading up isp was how much more money we would make and could negotiate everything, there is 0 negotiating, it’s all take it or leave it, predetermined, shuffle things around to same gross outcome, none of it considers how much inflation is going on or the insane amount of oversized we haul, you should make more money every year not the opposite ","","We bring up inflation, higher cost, try to adjust schedule k….crickets, it’s all correct and that’s all you’re getting","Everything…everything falls on contractor shoulders.. weather, late trailers, half the preload employees no show for work, who cares it’s contractors fault it didn’t get delivered for pennies on dollar, every surcharge that’s added each year by the company, we don’t see an increase in pay",""
"2024/01/15 10:24:40 PM EST","","","","","","1","2021-02-13","100%","4","Decreased","Increased","Vehicle Maintenance and Repair Costs (i.e. mechanic rates, cost of parts, etc.)","5","Improved","4","Vehicle Maintenance & Repair","31 to 50","Reduced","6 to 15","0","1 to 2","0","3","4","5","More Optimistic","More Optimistic","More Optimistic","5","5","Economic Downturn","Fleet Costs","Labor Costs","Maintaining","Increase","In order to get more efficient, I got bigger trucks and each truck does about 10-15% more per route than the same route a year ago.","Reduced payroll by 20% YoY. ","Their needs to be a contractor liaison ","No","","",""
